<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
МТС-ао;D;20180405;000000;293,5;296;291,7;294,1;1491840;0
МТС-ао;D;20180406;000000;293,7;295,55;292,5;293;779150;0
МТС-ао;D;20180409;000000;293;293;265,5;272,5;7450460;0
МТС-ао;D;20180410;000000;272,95;288,95;266,7;281,85;4903680;0
МТС-ао;D;20180411;000000;281;293;277;279;4392480;0
МТС-ао;D;20180412;000000;283;290;281,2;282,25;3316450;0
МТС-ао;D;20180413;000000;283,85;286,5;277,5;279;2909700;0
МТС-ао;D;20180416;000000;276,85;284,4;276,15;278;2934300;0
МТС-ао;D;20180417;000000;281;285,5;280,45;283,2;2004780;0
МТС-ао;D;20180418;000000;283,05;295;282,8;289,3;3388390;0
МТС-ао;D;20180419;000000;291;294,35;287;289,5;2708910;0
МТС-ао;D;20180420;000000;290;290,75;285,35;287,75;2047940;0
МТС-ао;D;20180423;000000;288,65;292;286,05;287,15;2336450;0
МТС-ао;D;20180424;000000;288;289,8;286,5;289,4;1343890;0
МТС-ао;D;20180425;000000;287,1;290,45;286,25;289,15;1146190;0
МТС-ао;D;20180426;000000;290;295,8;289,4;295,8;2291690;0
МТС-ао;D;20180427;000000;295,8;297,85;292,5;295,1;1201700;0
МТС-ао;D;20180428;000000;293,85;295,2;293;294,05;234170;0
МТС-ао;D;20180430;000000;294,85;297;291,45;296,4;986700;0
МТС-ао;D;20180502;000000;295,95;295,95;290,1;292,3;1231460;0
МТС-ао;D;20180503;000000;291,3;293;290;290,55;1160970;0
МТС-ао;D;20180504;000000;290,9;292,15;289,4;290;913420;0
МТС-ао;D;20180507;000000;290,2;292,6;289,8;291,45;1256640;0
МТС-ао;D;20180508;000000;290,5;291;287,7;290;1156550;0
МТС-ао;D;20180510;000000;289,6;292,65;288,15;289,85;1782140;0
МТС-ао;D;20180511;000000;289,85;291,75;288,05;289,15;1249700;0
МТС-ао;D;20180514;000000;290,2;291,85;288,5;290;1099270;0
МТС-ао;D;20180515;000000;291,15;291,25;288,7;289;1249100;0
МТС-ао;D;20180516;000000;289,65;290,65;288,3;289,05;1061870;0
МТС-ао;D;20180517;000000;289,55;293,45;289,05;293,45;1117760;0
МТС-ао;D;20180518;000000;293,3;294,4;291,25;293,4;938390;0
МТС-ао;D;20180521;000000;293,2;295,95;293,2;294,25;796060;0
